state,district,labour_force_thousand,unemployment_rate_pct,participation_rate_pct
Johor,Batu Pahat,263.6,1.3,70.9
Johor,Johor Bahru,921.3,2.7,74.6
Johor,Kluang,176.6,2.8,72.6
Johor,Kota Tinggi,119.6,2.4,72.1
Johor,Kulai,173.3,2.3,66.8
Johor,Mersing,35.4,2.0,61.3
Johor,Muar,161.4,1.6,69.4
Johor,Pontian,84.4,2.5,66.6
Johor,Segamat,108.9,2.5,71.3
Johor,Tangkak,82.0,1.7,65.9
Kedah,Baling,68.2,1.8,70.4
Kedah,Bandar Baharu,21.9,2.5,71.8
Kedah,Kota Setar,162.6,3.2,63.8
Kedah,Kuala Muda,244.5,2.2,62.8
Kedah,Kubang Pasu,109.4,2.4,65.3
Kedah,Kulim,166.4,1.9,69.0
Kedah,Langkawi,48.1,4.9,72.6
Kedah,Padang Terap,31.3,2.5,70.3
Kedah,Pendang,44.6,3.5,66.9
Kedah,Pokok Sena,23.5,2.5,69.4
Kedah,Sik,29.4,2.0,64.0
Kedah,Yan,31.4,1.9,63.0
Kelantan,Bachok,60.6,3.2,54.8
Kelantan,Gua Musang,35.1,3.3,51.3
Kelantan,Jeli,22.5,2.3,55.7
Kelantan,Kecil Lojing,3.5,5.6,48.8
Kelantan,Kota Bharu,247.4,4.5,63.0
Kelantan,Kuala Krai,43.1,2.1,59.0
Kelantan,Machang,42.1,4.9,57.5
Kelantan,Pasir Mas,82.0,3.8,54.3
Kelantan,Pasir Puteh,51.0,3.0,57.7
Kelantan,Tanah Merah,57.3,2.2,55.8
Kelantan,Tumpat,61.2,2.5,53.4
Melaka,Alor Gajah,142.6,2.3,72.6
Melaka,Jasin,74.6,1.2,66.7
Melaka,Melaka Tengah,308.1,1.4,70.7
Negeri Sembilan,Jelebu,19.9,3.5,64.1
Negeri Sembilan,Jempol,54.9,3.4,65.1
Negeri Sembilan,Kuala Pilah,31.0,4.7,62.0
Negeri Sembilan,Port Dickson,62.9,4.2,67.0
Negeri Sembilan,Rembau,22.8,3.5,66.7
Negeri Sembilan,Seremban,336.1,2.7,67.6
Negeri Sembilan,Tampin,39.7,3.0,66.3
Pahang,Bentong,57.4,1.5,66.3
Pahang,Bera,37.8,2.8,53.9
Pahang,Cameron Highlands,23.7,1.5,71.8
Pahang,Jerantut,43.4,2.8,63.7
Pahang,Kuantan,285.0,1.9,71.1
Pahang,Lipis,39.2,1.2,54.5
Pahang,Maran,52.3,1.8,65.4
Pahang,Pekan,58.2,2.0,65.0
Pahang,Raub,44.7,2.6,63.3
Pahang,Rompin,41.1,1.9,59.8
Pahang,Temerloh,74.7,2.5,62.6
Perak,Bagan Datuk,34.4,5.0,53.6
Perak,Batang Padang,40.5,5.9,47.2
Perak,Hilir Perak,45.2,7.4,46.0
Perak,Hulu Perak,32.5,5.4,49.6
Perak,Kampar,45.0,4.4,64.2
Perak,Kerian,81.5,4.2,69.8
Perak,Kinta,460.5,2.6,72.5
Perak,Kuala Kangsar,79.1,4.3,64.6
Perak,Larut & Matang,132.2,2.8,72.3
Perak,Manjung,125.4,3.1,71.0
Perak,Muallim,42.1,4.0,70.9
Perak,Perak Tengah,49.5,3.8,70.9
Perak,Selama,10.4,8.9,44.5
Pulau Pinang,Barat Daya,129.1,0.9,71.9
Pulau Pinang,Seberang Perai Selatan,110.3,3.0,80.0
Pulau Pinang,Seberang Perai Tengah,238.7,1.9,73.0
Pulau Pinang,Seberang Perai Utara,169.5,2.7,67.4
Pulau Pinang,Timur Laut,302.6,1.8,71.4
Sabah,Beaufort,33.2,9.4,66.4
Sabah,Beluran,42.1,8.6,65.6
Sabah,Kalabakan,30.9,9.1,69.1
Sabah,Keningau,75.9,8.7,71.7
Sabah,Kinabatangan,91.1,8.2,70.6
Sabah,Kota Belud,48.8,8.7,64.5
Sabah,Kota Kinabalu,292.0,5.9,76.2
Sabah,Kota Marudu,29.3,8.7,61.2
Sabah,Kuala Penyu,11.4,9.0,67.7
Sabah,Kudat,39.5,9.4,62.2
Sabah,Kunak,41.5,8.4,71.6
Sabah,Lahad Datu,131.4,7.5,72.4
Sabah,Membakut,,,
Sabah,Nabawan,14.3,10.7,71.1
Sabah,Papar,74.2,8.3,72.5
Sabah,Penampang,87.6,5.8,74.4
Sabah,Pitas,13.8,9.6,53.5
Sabah,Putatan,34.6,6.1,73.7
Sabah,Ranau,40.3,9.3,70.2
Sabah,Sandakan,261.5,6.8,73.0
Sabah,Semporna,96.9,8.4,69.2
Sabah,Sipitang,19.2,8.7,71.2
Sabah,Tambunan,15.0,9.0,70.0
Sabah,Tawau,219.7,7.1,73.3
Sabah,Telupid,12.1,9.3,53.4
Sabah,Tenom,24.8,11.1,69.5
Sabah,Tongod,16.8,9.7,52.8
Sabah,Tuaran,60.5,8.8,63.5
Sarawak,Asajaya,15.6,2.2,67.8
Sarawak,Bau,26.4,2.9,69.5
Sarawak,Belaga,11.8,5.9,66.7
Sarawak,Beluru,13.3,1.6,68.0
Sarawak,Betong,16.6,1.9,64.8
Sarawak,Bintulu,105.0,2.2,74.8
Sarawak,Bukit Mabong,4.5,2.8,64.4
Sarawak,Dalat,9.8,2.3,65.9
Sarawak,Daro,9.2,3.8,67.6
Sarawak,Gedong,,,
Sarawak,Julau,6.7,3.0,63.3
Sarawak,Kabong,8.2,2.0,64.2
Sarawak,Kanowit,10.6,5.3,64.3
Sarawak,Kapit,16.7,4.2,65.8
Sarawak,Kuching,319.5,2.8,72.3
Sarawak,Lawas,16.3,4.6,64.6
Sarawak,Limbang,22.0,2.7,68.7
Sarawak,Lingga,,,
Sarawak,Lubok Antu,11.1,2.1,66.3
Sarawak,Lundu,16.1,2.7,67.9
Sarawak,Maradong,9.3,5.1,65.4
Sarawak,Marudi,9.0,2.1,68.1
Sarawak,Matu,7.5,2.5,66.1
Sarawak,Miri,138.5,2.7,72.9
Sarawak,Mukah,21.4,2.6,70.9
Sarawak,Pakan,7.0,1.6,64.1
Sarawak,Pantu,,,
Sarawak,Pusa,6.9,1.7,54.2
Sarawak,Samarahan,72.0,5.7,70.9
Sarawak,Saratok,11.0,3.1,65.9
Sarawak,Sarikei,21.6,4.3,69.0
Sarawak,Sebauh,17.2,1.4,68.7
Sarawak,Sebuyau,,,
Sarawak,Selangau,9.6,2.3,66.2
Sarawak,Serian,34.5,6.7,57.7
Sarawak,Sibu,130.7,5.7,71.1
Sarawak,Siburan,,,
Sarawak,Simunjan,15.7,4.2,63.6
Sarawak,Song,3.7,3.7,56.9
Sarawak,Sri Aman,27.9,1.6,67.8
Sarawak,Subis,29.4,1.5,70.5
Sarawak,Tanjong Manis,3.5,5.6,64.4
Sarawak,Tatau,16.3,2.8,70.7
Sarawak,Tebedu,8.9,6.1,49.1
Sarawak,Telang Usan,8.9,1.5,67.8
Selangor,Gombak,527.5,3.0,75.7
Selangor,Klang,674.6,2.6,80.3
Selangor,Kuala Langat,168.9,1.2,74.8
Selangor,Kuala Selangor,147.3,2.6,70.6
Selangor,Petaling,1354.1,2.0,79.8
Selangor,Sabak Bernam,54.5,1.9,71.4
Selangor,Sepang,186.6,2.5,76.7
Selangor,Ulu Langat,829.6,2.3,77.4
Selangor,Ulu Selangor,140.4,1.4,77.8
Terengganu,Besut,64.1,3.5,59.9
Terengganu,Dungun,65.1,3.1,58.0
Terengganu,Hulu Terengganu,27.4,3.3,55.8
Terengganu,Kemaman,104.6,2.6,67.5
Terengganu,Kuala Nerus,63.4,3.3,59.3
Terengganu,Kuala Terengganu,94.4,3.3,59.3
Terengganu,Marang,48.1,2.6,58.0
Terengganu,Setiu,27.3,3.6,64.7
