date,age,skills_underemployment_rate_pct
2017-01-01,overall,29.9
2017-04-01,overall,31.8
2017-07-01,overall,31.4
2017-10-01,overall,32.7
2018-01-01,overall,32.5
2018-04-01,overall,33.2
2018-07-01,overall,33.4
2018-10-01,overall,32.8
2019-01-01,overall,32.9
2019-04-01,overall,32.8
2019-07-01,overall,34.3
2019-10-01,overall,34.8
2020-01-01,overall,36.2
2020-04-01,overall,36.5
2020-07-01,overall,36.8
2020-10-01,overall,37.4
2021-01-01,overall,37.9
2021-04-01,overall,37.7
2021-07-01,overall,37.7
2021-10-01,overall,37.5
2022-01-01,overall,36.9
2022-04-01,overall,36.7
2022-07-01,overall,36.8
2022-10-01,overall,37.4
2023-01-01,overall,37.4
2023-04-01,overall,37.4
2023-07-01,overall,37.3
2023-10-01,overall,37.4
2024-01-01,overall,36.4
2024-04-01,overall,36.2
2024-07-01,overall,36.0
2024-10-01,overall,35.8
2025-01-01,overall,35.7
2025-04-01,overall,35.6
2025-07-01,overall,35.5
2017-01-01,15-24,63.3
2017-04-01,15-24,65.3
2017-07-01,15-24,62.9
2017-10-01,15-24,63.4
2018-01-01,15-24,63.7
2018-04-01,15-24,66.0
2018-07-01,15-24,65.1
2018-10-01,15-24,66.0
2019-01-01,15-24,64.2
2019-04-01,15-24,67.1
2019-07-01,15-24,66.6
2019-10-01,15-24,63.6
2020-01-01,15-24,68.9
2020-04-01,15-24,69.2
2020-07-01,15-24,72.2
2020-10-01,15-24,68.8
2021-01-01,15-24,71.8
2021-04-01,15-24,69.0
2021-07-01,15-24,72.6
2021-10-01,15-24,68.9
2022-01-01,15-24,69.6
2022-04-01,15-24,58.1
2022-07-01,15-24,74.0
2022-10-01,15-24,75.3
2023-01-01,15-24,73.4
2023-04-01,15-24,69.9
2023-07-01,15-24,77.2
2023-10-01,15-24,80.0
2024-01-01,15-24,69.1
2024-04-01,15-24,66.2
2024-07-01,15-24,65.1
2024-10-01,15-24,67.9
2025-01-01,15-24,70.7
2025-04-01,15-24,74.4
2025-07-01,15-24,74.3
2017-01-01,25-34,31.3
2017-04-01,25-34,32.8
2017-07-01,25-34,34.1
2017-10-01,25-34,34.6
2018-01-01,25-34,34.7
2018-04-01,25-34,36.6
2018-07-01,25-34,35.1
2018-10-01,25-34,36.2
2019-01-01,25-34,36.1
2019-04-01,25-34,35.8
2019-07-01,25-34,37.0
2019-10-01,25-34,38.2
2020-01-01,25-34,40.0
2020-04-01,25-34,37.0
2020-07-01,25-34,42.1
2020-10-01,25-34,41.3
2021-01-01,25-34,44.4
2021-04-01,25-34,39.6
2021-07-01,25-34,43.3
2021-10-01,25-34,44.8
2022-01-01,25-34,42.2
2022-04-01,25-34,41.2
2022-07-01,25-34,43.1
2022-10-01,25-34,46.3
2023-01-01,25-34,43.2
2023-04-01,25-34,43.3
2023-07-01,25-34,41.6
2023-10-01,25-34,41.6
2024-01-01,25-34,41.3
2024-04-01,25-34,39.5
2024-07-01,25-34,41.3
2024-10-01,25-34,38.9
2025-01-01,25-34,40.3
2025-04-01,25-34,40.9
2025-07-01,25-34,41.0
2017-01-01,35-44,20.8
2017-04-01,35-44,22.0
2017-07-01,35-44,21.7
2017-10-01,35-44,24.8
2018-01-01,35-44,24.2
2018-04-01,35-44,23.2
2018-07-01,35-44,24.0
2018-10-01,35-44,21.0
2019-01-01,35-44,21.6
2019-04-01,35-44,22.6
2019-07-01,35-44,22.9
2019-10-01,35-44,24.6
2020-01-01,35-44,25.4
2020-04-01,35-44,27.2
2020-07-01,35-44,26.2
2020-10-01,35-44,30.3
2021-01-01,35-44,27.3
2021-04-01,35-44,30.3
2021-07-01,35-44,27.4
2021-10-01,35-44,29.2
2022-01-01,35-44,29.3
2022-04-01,35-44,30.4
2022-07-01,35-44,28.0
2022-10-01,35-44,28.6
2023-01-01,35-44,29.7
2023-04-01,35-44,28.4
2023-07-01,35-44,28.5
2023-10-01,35-44,29.5
2024-01-01,35-44,28.7
2024-04-01,35-44,31.3
2024-07-01,35-44,28.1
2024-10-01,35-44,27.1
2025-01-01,35-44,28.0
2025-04-01,35-44,28.3
2025-07-01,35-44,24.9
2017-01-01,45+,17.9
2017-04-01,45+,20.6
2017-07-01,45+,18.4
2017-10-01,45+,19.2
2018-01-01,45+,19.9
2018-04-01,45+,19.2
2018-07-01,45+,19.7
2018-10-01,45+,19.6
2019-01-01,45+,22.0
2019-04-01,45+,19.0
2019-07-01,45+,21.7
2019-10-01,45+,21.7
2020-01-01,45+,23.9
2020-04-01,45+,27.3
2020-07-01,45+,20.2
2020-10-01,45+,23.1
2021-01-01,45+,20.8
2021-04-01,45+,29.6
2021-07-01,45+,21.5
2021-10-01,45+,24.0
2022-01-01,45+,20.1
2022-04-01,45+,22.9
2022-07-01,45+,20.5
2022-10-01,45+,18.8
2023-01-01,45+,19.9
2023-04-01,45+,19.9
2023-07-01,45+,21.7
2023-10-01,45+,21.8
2024-01-01,45+,26.5
2024-04-01,45+,22.1
2024-07-01,45+,23.0
2024-10-01,45+,29.9
2025-01-01,45+,23.1
2025-04-01,45+,18.7
2025-07-01,45+,22.1
