state,Agriculture,Construction,Manufacturing,Mining,Services,Total GDP,manufacturing_share_pct,services_share_pct
Johor,18201.25,6371.025,45999.89,776.656,85199.156,158348.264,29.0,53.8
Kedah,5785.338,1413.127,16134.586,119.588,30323.06,54101.506,29.8,56.0
Kelantan,5695.467,551.634,1292.543,468.006,20556.027,28599.018,4.5,71.9
Melaka,4601.379,1323.752,17588.369,70.305,25167.447,48844.201,36.0,51.5
Negeri Sembilan,3397.142,1470.145,20399.016,216.698,28728.706,54335.264,37.5,52.9
Pahang,15455.559,2465.595,14530.891,611.729,35566.798,68754.028,21.1,51.7
Perak,12303.26,2247.957,16768.684,485.251,54745.018,86619.938,19.4,63.2
Perlis,1119.931,173.136,490.998,34.344,4610.469,6544.734,7.5,70.4
Pulau Pinang,2201.653,3799.2,56062.844,163.988,58423.412,121437.238,46.2,48.1
Sabah,12254.173,3029.546,6127.957,18583.957,44232.155,84506.014,7.3,52.3
Sarawak,15003.628,5871.244,38189.748,31306.751,57308.557,148189.153,25.8,38.7
Selangor,4951.535,23132.623,125784.831,939.588,263974.002,432929.901,29.1,61.0
Terengganu,2931.227,1369.808,14627.694,238.516,20745.621,39951.104,36.6,51.9
W.P. Kuala Lumpur,0.0,12731.58,6684.863,159.417,231079.502,251946.876,2.7,91.7
W.P. Labuan,128.61,151.872,1373.03,0.0,6837.779,8553.218,16.1,79.9
W.P. Putrajaya,0.0,491.467,0.0,0.0,13193.504,13702.485,0.0,96.3
