state,university,citizenship,sex,date,staff
Malaysia,All Universities,all,both,2014-01-01,31917
Malaysia,All Universities,all,both,2015-01-01,31877
Malaysia,All Universities,all,both,2016-01-01,31712
Malaysia,All Universities,all,both,2017-01-01,31740
Malaysia,All Universities,all,both,2018-01-01,31528
Malaysia,All Universities,all,both,2019-01-01,31626
Malaysia,All Universities,all,both,2020-01-01,31508
Malaysia,All Universities,all,both,2021-01-01,31568
Malaysia,All Universities,all,both,2022-01-01,31392
Malaysia,All Universities,all,both,2023-01-01,31631
Malaysia,All Universities,all,female,2014-01-01,16872
Malaysia,All Universities,all,female,2015-01-01,17081
Malaysia,All Universities,all,female,2016-01-01,17298
Malaysia,All Universities,all,female,2017-01-01,17490
Malaysia,All Universities,all,female,2018-01-01,17503
Malaysia,All Universities,all,female,2019-01-01,17657
Malaysia,All Universities,all,female,2020-01-01,17818
Malaysia,All Universities,all,female,2021-01-01,18005
Malaysia,All Universities,all,female,2022-01-01,18025
Malaysia,All Universities,all,female,2023-01-01,18250
Malaysia,All Universities,all,male,2014-01-01,15045
Malaysia,All Universities,all,male,2015-01-01,14796
Malaysia,All Universities,all,male,2016-01-01,14414
Malaysia,All Universities,all,male,2017-01-01,14250
Malaysia,All Universities,all,male,2018-01-01,14025
Malaysia,All Universities,all,male,2019-01-01,13969
Malaysia,All Universities,all,male,2020-01-01,13690
Malaysia,All Universities,all,male,2021-01-01,13563
Malaysia,All Universities,all,male,2022-01-01,13367
Malaysia,All Universities,all,male,2023-01-01,13381
Malaysia,All Universities,citizen,both,2014-01-01,29487
Malaysia,All Universities,citizen,both,2015-01-01,29678
Malaysia,All Universities,citizen,both,2016-01-01,29993
Malaysia,All Universities,citizen,both,2017-01-01,30200
Malaysia,All Universities,citizen,both,2018-01-01,30076
Malaysia,All Universities,citizen,both,2019-01-01,30154
Malaysia,All Universities,citizen,both,2020-01-01,30220
Malaysia,All Universities,citizen,both,2021-01-01,30380
Malaysia,All Universities,citizen,both,2022-01-01,30238
Malaysia,All Universities,citizen,both,2023-01-01,30432
Malaysia,All Universities,citizen,female,2014-01-01,16264
Malaysia,All Universities,citizen,female,2015-01-01,16508
Malaysia,All Universities,citizen,female,2016-01-01,16907
Malaysia,All Universities,citizen,female,2017-01-01,17130
Malaysia,All Universities,citizen,female,2018-01-01,17181
Malaysia,All Universities,citizen,female,2019-01-01,17335
Malaysia,All Universities,citizen,female,2020-01-01,17544
Malaysia,All Universities,citizen,female,2021-01-01,17751
Malaysia,All Universities,citizen,female,2022-01-01,17780
Malaysia,All Universities,citizen,female,2023-01-01,17981
Malaysia,All Universities,citizen,male,2014-01-01,13223
Malaysia,All Universities,citizen,male,2015-01-01,13170
Malaysia,All Universities,citizen,male,2016-01-01,13086
Malaysia,All Universities,citizen,male,2017-01-01,13070
Malaysia,All Universities,citizen,male,2018-01-01,12895
Malaysia,All Universities,citizen,male,2019-01-01,12819
Malaysia,All Universities,citizen,male,2020-01-01,12676
Malaysia,All Universities,citizen,male,2021-01-01,12629
Malaysia,All Universities,citizen,male,2022-01-01,12458
Malaysia,All Universities,citizen,male,2023-01-01,12451
Malaysia,All Universities,non_citizen,both,2014-01-01,2430
Malaysia,All Universities,non_citizen,both,2015-01-01,2199
Malaysia,All Universities,non_citizen,both,2016-01-01,1719
Malaysia,All Universities,non_citizen,both,2017-01-01,1540
Malaysia,All Universities,non_citizen,both,2018-01-01,1452
Malaysia,All Universities,non_citizen,both,2019-01-01,1472
Malaysia,All Universities,non_citizen,both,2020-01-01,1288
Malaysia,All Universities,non_citizen,both,2021-01-01,1188
Malaysia,All Universities,non_citizen,both,2022-01-01,1154
Malaysia,All Universities,non_citizen,both,2023-01-01,1199
Malaysia,All Universities,non_citizen,female,2014-01-01,608
Malaysia,All Universities,non_citizen,female,2015-01-01,573
Malaysia,All Universities,non_citizen,female,2016-01-01,391
Malaysia,All Universities,non_citizen,female,2017-01-01,360
Malaysia,All Universities,non_citizen,female,2018-01-01,322
Malaysia,All Universities,non_citizen,female,2019-01-01,322
Malaysia,All Universities,non_citizen,female,2020-01-01,274
Malaysia,All Universities,non_citizen,female,2021-01-01,254
Malaysia,All Universities,non_citizen,female,2022-01-01,245
Malaysia,All Universities,non_citizen,female,2023-01-01,269
Malaysia,All Universities,non_citizen,male,2014-01-01,1822
Malaysia,All Universities,non_citizen,male,2015-01-01,1626
Malaysia,All Universities,non_citizen,male,2016-01-01,1328
Malaysia,All Universities,non_citizen,male,2017-01-01,1180
Malaysia,All Universities,non_citizen,male,2018-01-01,1130
Malaysia,All Universities,non_citizen,male,2019-01-01,1150
Malaysia,All Universities,non_citizen,male,2020-01-01,1014
Malaysia,All Universities,non_citizen,male,2021-01-01,934
Malaysia,All Universities,non_citizen,male,2022-01-01,909
Malaysia,All Universities,non_citizen,male,2023-01-01,930
Johor,All Universities,all,both,2014-01-01,3081
Johor,All Universities,all,both,2015-01-01,3071
Johor,All Universities,all,both,2016-01-01,2889
Johor,All Universities,all,both,2017-01-01,2902
Johor,All Universities,all,both,2018-01-01,2821
Johor,All Universities,all,both,2019-01-01,2819
Johor,All Universities,all,both,2020-01-01,2789
Johor,All Universities,all,both,2021-01-01,2782
Johor,All Universities,all,both,2022-01-01,2766
Johor,All Universities,all,both,2023-01-01,2783
Johor,All Universities,all,female,2014-01-01,1274
Johor,All Universities,all,female,2015-01-01,1285
Johor,All Universities,all,female,2016-01-01,1258
Johor,All Universities,all,female,2017-01-01,1280
Johor,All Universities,all,female,2018-01-01,1267
Johor,All Universities,all,female,2019-01-01,1285
Johor,All Universities,all,female,2020-01-01,1283
Johor,All Universities,all,female,2021-01-01,1318
Johor,All Universities,all,female,2022-01-01,1344
Johor,All Universities,all,female,2023-01-01,1374
Johor,All Universities,all,male,2014-01-01,1807
Johor,All Universities,all,male,2015-01-01,1786
Johor,All Universities,all,male,2016-01-01,1631
Johor,All Universities,all,male,2017-01-01,1622
Johor,All Universities,all,male,2018-01-01,1554
Johor,All Universities,all,male,2019-01-01,1534
Johor,All Universities,all,male,2020-01-01,1506
Johor,All Universities,all,male,2021-01-01,1464
Johor,All Universities,all,male,2022-01-01,1422
Johor,All Universities,all,male,2023-01-01,1409
Johor,All Universities,citizen,both,2014-01-01,2879
Johor,All Universities,citizen,both,2015-01-01,2869
Johor,All Universities,citizen,both,2016-01-01,2772
Johor,All Universities,citizen,both,2017-01-01,2800
Johor,All Universities,citizen,both,2018-01-01,2722
Johor,All Universities,citizen,both,2019-01-01,2715
Johor,All Universities,citizen,both,2020-01-01,2671
Johor,All Universities,citizen,both,2021-01-01,2687
Johor,All Universities,citizen,both,2022-01-01,2680
Johor,All Universities,citizen,both,2023-01-01,2692
Johor,All Universities,citizen,female,2014-01-01,1249
Johor,All Universities,citizen,female,2015-01-01,1261
Johor,All Universities,citizen,female,2016-01-01,1239
Johor,All Universities,citizen,female,2017-01-01,1261
Johor,All Universities,citizen,female,2018-01-01,1247
Johor,All Universities,citizen,female,2019-01-01,1268
Johor,All Universities,citizen,female,2020-01-01,1264
Johor,All Universities,citizen,female,2021-01-01,1302
Johor,All Universities,citizen,female,2022-01-01,1328
Johor,All Universities,citizen,female,2023-01-01,1359
Johor,All Universities,citizen,male,2014-01-01,1630
Johor,All Universities,citizen,male,2015-01-01,1608
Johor,All Universities,citizen,male,2016-01-01,1533
Johor,All Universities,citizen,male,2017-01-01,1539
Johor,All Universities,citizen,male,2018-01-01,1475
Johor,All Universities,citizen,male,2019-01-01,1447
Johor,All Universities,citizen,male,2020-01-01,1407
